trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
2263,06:55:00,06:55:00,1,1,0,0
2263,,,2,2,0,0
2263,,,3,3,0,0
2263,,,4,4,0,0
2263,,,5,5,0,0
2263,,,6,6,0,0
2263,,,7,7,0,0
2263,,,8,8,0,0
2263,,,9,9,0,0
2263,,,10,10,0,0
2263,,,11,11,0,0
2263,,,12,12,0,0
2263,,,13,13,0,0
2263,,,14,14,0,0
2263,07:05:00,07:05:00,15,15,0,0
2263,,,16,16,0,0
2263,,,17,17,0,0
2263,,,18,18,0,0
2263,,,19,19,0,0
2263,,,20,20,0,0
2263,,,21,21,0,0
2263,,,22,22,0,0
2263,,,23,23,0,0
2263,,,24,24,0,0
2263,,,25,25,0,0
2263,,,26,26,0,0
2263,,,27,27,0,0
2263,,,28,28,0,0
2263,,,29,29,0,0
2263,,,30,30,0,0
2263,,,31,31,0,0
2263,07:15:00,07:15:00,32,32,0,0
2263,,,33,33,0,0
2263,,,34,34,0,0
2263,,,35,35,0,0
2263,,,36,36,0,0
2263,,,37,37,0,0
2263,,,38,38,0,0
2263,,,39,39,0,0
2263,,,40,40,0,0
2263,,,41,41,0,0
2263,,,42,42,0,0
2263,,,43,43,0,0
2263,,,44,44,0,0
2263,07:30:00,07:30:00,1,45,0,0
2264,07:35:00,07:35:00,1,1,0,0
2264,,,2,2,0,0
2264,,,3,3,0,0
2264,,,4,4,0,0
2264,,,5,5,0,0
2264,,,6,6,0,0
2264,,,7,7,0,0
2264,,,8,8,0,0
2264,,,9,9,0,0
2264,,,10,10,0,0
2264,,,11,11,0,0
2264,,,12,12,0,0
2264,,,13,13,0,0
2264,,,14,14,0,0
2264,07:45:00,07:45:00,15,15,0,0
2264,,,16,16,0,0
2264,,,17,17,0,0
2264,,,18,18,0,0
2264,,,19,19,0,0
2264,,,20,20,0,0
2264,,,21,21,0,0
2264,,,22,22,0,0
2264,,,23,23,0,0
2264,,,24,24,0,0
2264,,,25,25,0,0
2264,,,26,26,0,0
2264,,,27,27,0,0
2264,,,28,28,0,0
2264,,,29,29,0,0
2264,,,30,30,0,0
2264,,,31,31,0,0
2264,07:55:00,07:55:00,32,32,0,0
2264,,,33,33,0,0
2264,,,34,34,0,0
2264,,,35,35,0,0
2264,,,36,36,0,0
2264,,,37,37,0,0
2264,,,38,38,0,0
2264,,,39,39,0,0
2264,,,40,40,0,0
2264,,,41,41,0,0
2264,,,42,42,0,0
2264,,,43,43,0,0
2264,,,44,44,0,0
2264,08:10:00,08:10:00,1,45,0,0
2265,15:53:00,15:53:00,15,15,0,0
2265,,,16,16,0,0
2265,,,17,17,0,0
2265,,,18,18,0,0
2265,,,19,19,0,0
2265,,,20,20,0,0
2265,,,21,21,0,0
2265,,,22,22,0,0
2265,,,23,23,0,0
2265,,,24,24,0,0
2265,,,25,25,0,0
2265,,,26,26,0,0
2265,,,27,27,0,0
2265,,,28,28,0,0
2265,,,29,29,0,0
2265,,,30,30,0,0
2265,,,31,31,0,0
2265,16:03:00,16:03:00,32,32,0,0
2265,,,33,33,0,0
2265,,,34,34,0,0
2265,,,35,35,0,0
2265,,,36,36,0,0
2265,,,37,37,0,0
2265,,,38,38,0,0
2265,,,39,39,0,0
2265,,,40,40,0,0
2265,,,41,41,0,0
2265,,,42,42,0,0
2265,,,43,43,0,0
2265,,,44,44,0,0
2265,16:18:00,16:18:00,1,45,0,0
2266,16:55:00,16:55:00,1,1,0,0
2266,,,2,2,0,0
2266,,,3,3,0,0
2266,,,4,4,0,0
2266,,,5,5,0,0
2266,,,6,6,0,0
2266,,,7,7,0,0
2266,,,8,8,0,0
2266,,,9,9,0,0
2266,,,10,10,0,0
2266,,,11,11,0,0
2266,,,12,12,0,0
2266,,,13,13,0,0
2266,,,14,14,0,0
2266,17:07:00,17:07:00,15,15,0,0
2266,,,16,16,0,0
2266,,,17,17,0,0
2266,,,18,18,0,0
2266,,,19,19,0,0
2266,,,20,20,0,0
2266,,,21,21,0,0
2266,,,22,22,0,0
2266,,,23,23,0,0
2266,,,24,24,0,0
2266,,,25,25,0,0
2266,,,26,26,0,0
2266,,,27,27,0,0
2266,,,28,28,0,0
2266,,,29,29,0,0
2266,,,30,30,0,0
2266,,,31,31,0,0
2266,17:17:00,17:17:00,32,32,0,0
2266,,,33,33,0,0
2266,,,34,34,0,0
2266,,,35,35,0,0
2266,,,36,36,0,0
2266,,,37,37,0,0
2266,,,38,38,0,0
2266,,,39,39,0,0
2266,,,40,40,0,0
2266,,,41,41,0,0
2266,,,42,42,0,0
2266,,,43,43,0,0
2266,,,44,44,0,0
2266,17:32:00,17:32:00,1,45,0,0
2368,08:25:00,08:25:00,1,1,0,0
2368,,,2,2,0,0
2368,,,3,3,0,0
2368,,,4,4,0,0
2368,,,5,5,0,0
2368,,,6,6,0,0
2368,,,7,7,0,0
2368,,,8,8,0,0
2368,,,9,9,0,0
2368,,,10,10,0,0
2368,,,11,11,0,0
2368,,,12,12,0,0
2368,,,13,13,0,0
2368,,,14,14,0,0
2368,08:35:00,08:35:00,15,15,0,0
2368,,,16,16,0,0
