shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
102 - LOOP,43.51252417,-79.63271891,10876
102 - LOOP,43.51274948,-79.63218348,10877
102 - LOOP,43.51104242,-79.6298239,10878
102 - LOOP,43.4965074,-79.64569356,10879
102 - LOOP,43.49684079,-79.64615239,10880
102 - LOOP,43.49743417,-79.64697631,10881
102 - LOOP,43.5005625,-79.65123504,10882
102 - LOOP,43.50082,-79.6516077,10883
102 - LOOP,43.50201802,-79.65326252,10884
102 - LOOP,43.50283185,-79.6543801,10885
102 - LOOP,43.50310891,-79.65476204,10886
102 - LOOP,43.50334439,-79.65508462,10887
102 - LOOP,43.50403397,-79.65603294,10888
102 - LOOP,43.50461917,-79.65684096,10889
102 - LOOP,43.50538347,-79.65787642,10890
102 - LOOP,43.5057995,-79.65843634,10891
102 - LOOP,43.50673073,-79.65976104,10892
102 - LOOP,43.50691062,-79.66000299,10893
102 - LOOP,43.507026,-79.6601653,10894
102 - LOOP,43.50713064,-79.66030832,10895
102 - LOOP,43.5073276,-79.66057639,10896
102 - LOOP,43.50835488,-79.66196045,10897
102 - LOOP,43.50967125,-79.66377073,10898
102 - LOOP,43.51075973,-79.66526871,10899
102 - LOOP,43.51124341,-79.66592315,10900
102 - LOOP,43.51335566,-79.66882717,10901
102 - LOOP,43.51584759,-79.67214016,10902
102 - LOOP,43.51888185,-79.67634637,10903
102 - LOOP,43.51834771,-79.677083,10904
102 - LOOP,43.5180376,-79.67750442,10905
102 - LOOP,43.5179109,-79.67733753,10906
102 - LOOP,43.51772229,-79.67710023,10907
102 - LOOP,43.51758329,-79.67693838,10908
102 - LOOP,43.51749173,-79.67683763,10909
102 - LOOP,43.51729481,-79.67663863,10910
102 - LOOP,43.51720318,-79.67655885,10911
102 - LOOP,43.51709783,-79.67646057,10912
102 - LOOP,43.51698357,-79.67635825,10913
102 - LOOP,43.51684403,-79.67625254,10914
102 - LOOP,43.5167067,-79.67615153,10915
102 - LOOP,43.51660534,-79.67608651,10916
102 - LOOP,43.51640038,-79.67596312,10917
102 - LOOP,43.51582108,-79.67563354,10918
102 - LOOP,43.51572377,-79.67558082,10919
102 - LOOP,43.51564802,-79.67553386,10920
102 - LOOP,43.5155719,-79.67549149,10921
102 - LOOP,43.51548463,-79.67544036,10922
102 - LOOP,43.51538733,-79.67538764,10923
102 - LOOP,43.51530155,-79.67533908,10924
102 - LOOP,43.51521541,-79.67529112,10925
102 - LOOP,43.51501415,-79.67516765,10926
102 - LOOP,43.51489908,-79.67508417,10927
102 - LOOP,43.51479451,-79.67497671,10928
102 - LOOP,43.51470184,-79.67486882,10929
102 - LOOP,43.51460371,-79.6747251,10930
102 - LOOP,43.51451787,-79.67457636,10931
102 - LOOP,43.51444361,-79.67441081,10932
102 - LOOP,43.51437286,-79.67419691,10933
102 - LOOP,43.51427058,-79.67386859,10934
102 - LOOP,43.51412729,-79.67342578,10935
102 - LOOP,43.51340642,-79.6711713,10936
102 - LOOP,43.51333308,-79.67094689,10937
102 - LOOP,43.51326067,-79.67079192,10938
102 - LOOP,43.51316814,-79.67063159,10939
102 - LOOP,43.51306048,-79.67047702,10940
102 - LOOP,43.51295205,-79.67035614,10941
102 - LOOP,43.51283332,-79.6702509,10942
