stop_id,stop_name,stop_lat,stop_lon
1,Clarkson GO station,43.51251963,-79.63271071
2,2165 Royal Windsor Dr. ,43.50823167,-79.63330191
3,2265 Royal Windsor Dr. ,43.50621378,-79.63550252
4,2399 Royal Windsor Dr. ,43.5035493,-79.63839968
5,2555 Royal Windsor Dr. ,43.50051733,-79.64165784
6,2645 Royal Windsor Dr. ,43.49863583,-79.64367802
7,Royal Windsor Dr. and Winston Churchill Blvd.,43.49726751,-79.6450821
8,Winston Churchill Blvd. and Bromsgrove Rd.,43.50054608,-79.65089359
9,Winston Churchill Blvd. and Stockholm Rd.,43.50301622,-79.65431112
10,Winston Churchill Blvd. south of Truscott Dr.,43.50415053,-79.65595693
11,Winston Churchill Blvd. and Truscott Dr.,43.50537151,-79.65758198
12,Winston Churchill Blvd. and Benedet Dr.,43.50732929,-79.66026083
13,Winston Churchill Blvd. and North Sheridan Way,43.51331295,-79.66835906
14,Winston Churchill Blvd. and Sheridan Park Dr.,43.5158305,-79.67173607
15,Bristol Circle and Brighton Rd.,43.51730839,-79.6768043
16,2300 Bristol Circle,43.5158026,-79.67573041
17,Bristol Circle and Plymouth Dr.,43.51427526,-79.67419433
18,2120 Bristol Circle,43.51325561,-79.67097519
19,Bristol Circle and London Lane,43.51107883,-79.67032165
20,Bristol Circle and Winston Park Dr.,43.50914121,-79.67094719
21,Winston Park Dr. north of Upper Middle Rd. East,43.50780776,-79.66846499
22,Upper Middle Rd. East and Winston Park Dr.,43.50627581,-79.66883363
23,Upper Middle Rd. East and Buckingham Rd.,43.5046568,-79.67081305
24,2872 Bristol Circle,43.5043969,-79.67567852
25,Bristol Circle and Plymouth Dr.,43.50592856,-79.67965306
26,Bristol Circle and Coventry Rd.,43.50838932,-79.68300298
27,Bristol Circle and Brighton Rd.,43.50975708,-79.68488305
28,Bristol Circle and Portland Dr.,43.51117523,-79.68684021
29,Bristol Circle and Hyde Park Gate,43.51349582,-79.68802673
30,Bristol Circle and Winston Park Dr.,43.51675392,-79.68441068
31,Bristol Circle and Hampshire Gate,43.51884868,-79.68231225
32,Bristol Circle and Dover Gate,43.51845814,-79.67821327
