route_id,service_id,trip_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
102,01-Weekday,2263,216,102 - LOOP,1,1
102,01-Weekday,2264,216,102 - LOOP,1,1
102,01-Weekday,2265,219,102 - LOOP-3,1,1
102,01-Weekday,2266,219,102 - LOOP-3,1,1
102,01-Weekday,2368,206,102 - LOOP-1,1,1
102,01-Weekday,2369,219,102 - LOOP-3,1,1
22,01-Weekday,3000,10,22 - IN-216,1,1
22,01-Weekday,3001,205,22 - IN-216,1,1
22,01-Weekday,3002,32,22 - IN-216,1,1
22,01-Weekday,3003,205,22 - OUT-9,1,1
22,01-Weekday,3004,205,22 - IN-10,1,1
22,01-Weekday,3005,32,22 - OUT-9,1,1
22,01-Weekday,3006,32,22 - IN-10,1,1
22,01-Weekday,3007,205,22 - OUT-9,1,1
22,01-Weekday,3008,205,22 - IN-10,1,1
22,01-Weekday,3009,212,22 - OUT-9,1,1
22,01-Weekday,3010,212,22 - IN-10,1,1
22,01-Weekday,3011,205,22 - OUT-242,1,1
22,01-Weekday,3012,205,22 - IN-10,1,1
22,01-Weekday,3013,205,22 - OUT-242,1,1
22,01-Weekday,3014,205,22 - IN-10,1,1
22,01-Weekday,3031,211,22 - OUT-242,1,1
22,01-Weekday,3032,211,22 - IN-10,1,1
22,01-Weekday,3033,223,22 - OUT-242,1,1
22,01-Weekday,3034,223,22 - IN-10,1,1
22,01-Weekday,3035,223,22 - OUT-242,1,1
22,01-Weekday,2404,409,22 - OUT-9,1,1
22,01-Weekday,3036,223,22 - IN-10,1,1
22,01-Weekday,2405,409,22 - IN-10,1,1
22,01-Weekday,3037,223,22 - OUT-9,1,1
22,01-Weekday,3038,223,22 - IN-10,1,1
22,01-Weekday,3039,203,22 - OUT-9,1,1
22,01-Weekday,3040,203,22 - IN-10,1,1
22,01-Weekday,3041,223,22 - OUT-9,1,1
22,01-Weekday,3042,223,22 - IN-10,1,1
22,01-Weekday,3043,211,22 - OUT-9,1,1
22,01-Weekday,3044,211,22 - IN-10,1,1
22,01-Weekday,3045,409,22 - OUT-9,1,1
22,01-Weekday,3046,409,22 - IN-10,1,1
22,01-Weekday,3047,409,22 - OUT-242,1,1
22,01-Weekday,3048,409,22 - IN-10,1,1
26,01-Weekday,2073,20,26 - LOOP-14,1,1
26,01-Weekday,2074,7,26 - LOOP-14,1,1
26,01-Weekday,2075,214,26 - LOOP-14,1,1
26,01-Weekday,2076,24,26 - LOOP-14,1,1
26,01-Weekday,2077,225,26 - LOOP-14,1,1
26,01-Weekday,2078,4,26 - LOOP-14,1,1
26,01-Weekday,2079,230,26 - LOOP-14,1,1
26,01-Weekday,2080,3,26 - LOOP-14,1,1
26,01-Weekday,2081,30,26 - LOOP-14,1,1
26,01-Weekday,2082,304,26 - LOOP-14,1,1
26,01-Weekday,2083,6,26 - LOOP-14,1,1
26,01-Weekday,2084,27,26 - LOOP-14,1,1
26,01-Weekday,2085,23,26 - LOOP-14,1,1
26,01-Weekday,2086,33,26 - LOOP-14,1,1
26,01-Weekday,2087,9,26 - LOOP-14,1,1
26,01-Weekday,2088,2,26 - LOOP-14,1,1
26,01-Weekday,2089,29,26 - LOOP-14,1,1
26,01-Weekday,2090,3,26 - LOOP-14,1,1
26,01-Weekday,2091,25,26 - LOOP-14,1,1
26,01-Weekday,2092,31,26 - LOOP-14,1,1
26,01-Weekday,2093,212,26 - LOOP-14,1,1
26,01-Weekday,2094,28,26 - LOOP-14,1,1
26,01-Weekday,2095,115,26 - LOOP-14,1,1
26,01-Weekday,2096,222,26 - LOOP-14,1,1
26,01-Weekday,2097,221,26 - LOOP-14,1,1
26,01-Weekday,2098,221,26 - LOOP-14,1,1
26,01-Weekday,2099,210,26 - LOOP-14,1,1
26,01-Weekday,2100,112,26 - LOOP-14,1,1
26,01-Weekday,2101,405,26 - LOOP-14,1,1
26,01-Weekday,2102,111,26 - LOOP-14,1,1
26,01-Weekday,2103,117,26 - LOOP-14,1,1
26,01-Weekday,2104,401,26 - LOOP-14,1,1
26,01-Weekday,2105,101,26 - LOOP-14,1,1
26,01-Weekday,2106,102,26 - LOOP-14,1,1
26,01-Weekday,2107,102,26 - LOOP-14,1,1
26,01-Saturday,2109,507,26 - LOOP-14,1,1
26,01-Saturday,2110,507,26 - LOOP-14,1,1
26,01-Saturday,2111,531,26 - LOOP-14,1,1
26,01-Saturday,2112,507,26 - LOOP-14,1,1
26,01-Saturday,2113,507,26 - LOOP-14,1,1
26,01-Saturday,2114,507,26 - LOOP-14,1,1
26,01-Saturday,2115,507,26 - LOOP-14,1,1
26,01-Saturday,2116,515,26 - LOOP-14,1,1
26,01-Saturday,2117,555,26 - LOOP-14,1,1
26,01-Saturday,2118,564,26 - LOOP-14,1,1
26,01-Saturday,2119,559,26 - LOOP-14,1,1
26,01-Saturday,2120,531,26 - LOOP-14,1,1
26,01-Saturday,2121,533,26 - LOOP-14,1,1
26,01-Saturday,2122,553,26 - LOOP-14,1,1
26,01-Saturday,2123,553,26 - LOOP-14,1,1
26,01-Saturday,2124,555,26 - LOOP-14,1,1
26,01-Saturday,2125,573,26 - LOOP-14,1,1
190,01-Weekday,2267,225,190 - AM,1,1
190,01-Weekday,2268,26,190 - AM,1,1
190,01-Weekday,2269,23,190 - AM,1,1
190,01-Weekday,2270,123,190 - PM,1,1
190,01-Weekday,2271,206,190 - PM,1,1
190,01-Weekday,2272,123,190 - PM,1,1
18,01-Weekday,1628,29,18 - IN,1,1
18,01-Weekday,1629,301,18 - IN,1,1
18,01-Weekday,1630,210,18 - IN,1,1
18,01-Weekday,1631,7,18 - OUT,1,1
18,01-Weekday,1632,7,18 - IN-28,1,1
18,01-Weekday,1633,222,18 - OUT,1,1
18,01-Weekday,1634,222,18 - IN-28,1,1
18,01-Weekday,1635,229,18 - OUT,1,1
18,01-Weekday,1636,229,18 - IN-28,1,1
18,01-Weekday,1637,303,18 - OUT,1,1
18,01-Weekday,1638,303,18 - IN-28,1,1
18,01-Weekday,1639,216,18 - OUT,1,1
18,01-Weekday,1640,216,18 - IN-28,1,1
18,01-Weekday,1641,216,18 - OUT,1,1
18,01-Weekday,1642,216,18 - IN-28,1,1
18,01-Weekday,1643,124,18 - OUT,1,1
18,01-Weekday,1644,124,18 - IN-28,1,1
18,01-Weekday,1645,216,18 - OUT,1,1
18,01-Weekday,1646,216,18 - IN-25,1,1
18,01-Weekday,1647,124,18 - OUT,1,1
18,01-Weekday,1648,124,18 - IN-28,1,1
18,01-Weekday,1649,201,18 - OUT,1,1
18,01-Weekday,1650,201,18 - IN-28,1,1
18,01-Weekday,1651,406,18 - OUT,1,1
18,01-Weekday,1652,406,18 - IN-28,1,1
32,01-Weekday,3106,212,32 - IN-299,1,1
32,01-Weekday,3107,212,32 - IN-262,1,1
32,01-Weekday,3108,212,32 - OUT-29,1,1
32,01-Weekday,3109,212,32 - IN-30,1,1
32,01-Weekday,3110,32,32 - OUT-29,1,1
32,01-Weekday,3111,32,32 - IN-30,1,1
32,01-Weekday,3112,32,32 - OUT-29,1,1
32,01-Weekday,3113,32,32 - IN-30,1,1
32,01-Weekday,3114,32,32 - OUT-29,1,1
32,01-Weekday,3115,32,32 - IN-30,1,1
32,01-Weekday,3116,32,32 - OUT-312,1,1
32,01-Weekday,2483,302,32 - OUT-313,1,1
32,01-Weekday,3117,302,32 - IN-30,1,1
32,01-Weekday,3118,302,32 - OUT-312,1,1
32,01-Weekday,2484,32,32 - OUT-313,1,1
32,01-Weekday,3119,32,32 - IN-30,1,1
32,01-Weekday,3120,32,32 - OUT-29,1,1
32,01-Weekday,3121,32,32 - IN-30,1,1
32,01-Weekday,3122,32,32 - OUT-29,1,1
32,01-Weekday,3123,32,32 - IN-30,1,1
32,01-Weekday,3124,114,32 - OUT-29,1,1
32,01-Weekday,3125,114,32 - IN-30,1,1
32,01-Weekday,3126,114,32 - OUT-29,1,1
32,01-Weekday,3127,114,32 - IN-30,1,1
32,01-Weekday,3128,114,32 - OUT-29,1,1
32,01-Weekday,3129,114,32 - IN-30,1,1
32,01-Weekday,3130,114,32 - OUT-29,1,1
32,01-Weekday,3131,114,32 - IN-30,1,1
32,01-Weekday,3132,403,32 - OUT-29,1,1
32,01-Weekday,3133,403,32 - IN-261,1,1
32,01-Weekday,3134,211,32 - OUT-29,1,1
32,01-Weekday,3136,114,32 - OUT-29,1,1
32,01-Weekday,3137,114,32 - IN-30,1,1
32,01-Weekday,3138,114,32 - OUT-29,1,1
32,01-Weekday,3139,114,32 - IN-30,1,1
32,01-Weekday,3140,114,32 - OUT-29,1,1
32,01-Weekday,3141,114,32 - IN-30,1,1
32,01-Weekday,3142,114,32 - OUT-29,1,1
32,01-Weekday,3135,114,32 - IN-260,1,1
32,01-Saturday,3143,515,32 - IN-262,1,1
32,01-Saturday,3144,515,32 - OUT-29,1,1
32,01-Saturday,3145,515,32 - IN-30,1,1
32,01-Saturday,3146,515,32 - OUT-29,1,1
32,01-Saturday,3147,515,32 - IN-30,1,1
32,01-Saturday,3148,515,32 - OUT-29,1,1
32,01-Saturday,3149,515,32 - IN-30,1,1
32,01-Saturday,3150,515,32 - OUT-29,1,1
32,01-Saturday,3151,515,32 - IN-30,1,1
32,01-Saturday,3152,525,32 - OUT-29,1,1
32,01-Saturday,3153,525,32 - IN-30,1,1
32,01-Saturday,3154,525,32 - OUT-29,1,1
32,01-Saturday,3155,525,32 - IN-30,1,1
32,01-Saturday,3156,562,32 - OUT-29,1,1
32,01-Saturday,3157,562,32 - IN-30,1,1
32,01-Saturday,3158,562,32 - OUT-29,1,1
32,01-Saturday,3159,562,32 - IN-30,1,1
32,01-Saturday,3160,562,32 - OUT-29,1,1
32,01-Saturday,3161,562,32 - IN-30,1,1
32,01-Saturday,3162,562,32 - OUT-29,1,1
32,01-Saturday,3163,562,32 - IN-30,1,1
32,01-Saturday,3164,525,32 - OUT-29,1,1
32,01-Saturday,3165,525,32 - IN-30,1,1
32,01-Saturday,3166,562,32 - OUT-29,1,1
32,01-Saturday,3167,562,32 - IN-30,1,1
32,01-Saturday,3168,562,32 - OUT-29,1,1
32,01-Saturday,3169,562,32 - IN-30,1,1
32,01-Saturday,3170,562,32 - OUT-29,1,1
32,01-Saturday,3171,562,32 - IN-30,1,1
32,01-Saturday,3172,562,32 - OUT-29,1,1
32,01-Saturday,3173,562,32 - IN-260,1,1
32,01-Sunday,3174,709,32 - IN-262,1,1
32,01-Sunday,3175,709,32 - OUT-29,1,1
32,01-Sunday,3176,709,32 - IN-30,1,1
32,01-Sunday,3177,709,32 - OUT-29,1,1
32,01-Sunday,3178,709,32 - IN-30,1,1
32,01-Sunday,3179,709,32 - OUT-29,1,1
32,01-Sunday,3180,709,32 - IN-30,1,1
32,01-Sunday,3181,709,32 - OUT-29,1,1
32,01-Sunday,3182,709,32 - IN-30,1,1
32,01-Sunday,3183,709,32 - OUT-29,1,1
32,01-Sunday,3184,709,32 - IN-30,1,1
32,01-Sunday,3185,760,32 - OUT-29,1,1
32,01-Sunday,3186,760,32 - IN-30,1,1
32,01-Sunday,3187,760,32 - OUT-29,1,1
32,01-Sunday,3188,760,32 - IN-30,1,1
32,01-Sunday,3189,760,32 - OUT-29,1,1
32,01-Sunday,2473,760,32 - IN-30,1,1
32,01-Sunday,2474,760,32 - OUT-29,1,1
32,01-Sunday,2475,760,32 - IN-30,1,1
32,01-Sunday,2476,760,32 - OUT-29,1,1
32,01-Sunday,2477,760,32 - IN-30,1,1
32,01-Sunday,2478,760,32 - OUT-29,1,1
32,01-Sunday,2479,760,32 - IN-30,1,1
32,01-Sunday,2480,760,32 - OUT-263,1,1
4,01-Weekday,463,11,4 - IN-34,1,1
4,01-Weekday,464,304,4 - OUT,1,1
4,01-Weekday,465,304,4 - IN,1,1
4,01-Weekday,466,10,4 - OUT,1,1
4,01-Weekday,467,10,4 - IN,1,1
4,01-Weekday,468,219,4 - OUT,1,1
4,01-Weekday,469,219,4 - IN,1,1
4,01-Weekday,470,11,4 - OUT,1,1
4,01-Weekday,471,11,4 - IN,1,1
4,01-Weekday,472,211,4 - OUT,1,1
4,01-Weekday,473,211,4 - IN,1,1
4,01-Weekday,474,10,4 - OUT,1,1
4,01-Weekday,475,10,4 - IN,1,1
4,01-Weekday,476,219,4 - OUT,1,1
4,01-Weekday,477,219,4 - IN,1,1
4,01-Weekday,478,11,4 - OUT,1,1
4,01-Weekday,479,11,4 - IN,1,1
4,01-Weekday,480,10,4 - OUT,1,1
4,01-Weekday,481,10,4 - IN-205,1,1
4,01-Weekday,3504,231,4 - IN-206,1,1
4,01-Weekday,482,11,4 - OUT,1,1
4,01-Weekday,483,11,4 - IN-205,1,1
4,01-Weekday,3503,10,4 - IN-206,1,1
4,01-Weekday,484,231,4 - OUT,1,1
4,01-Weekday,485,231,4 - IN-205,1,1
4,01-Weekday,3505,11,4 - IN-206,1,1
4,01-Weekday,486,17,4 - OUT,1,1
4,01-Weekday,487,17,4 - IN,1,1
4,01-Weekday,488,16,4 - OUT,1,1
4,01-Weekday,489,16,4 - IN,1,1
